seed,arm,key,disease,dice,precision,recall,tp,fp,fn
2028,m4_a1_e4,train/442_G.png,G,0.5457234663477628,0.5380983588399268,0.5535677828896454,116593,100083,94028
2028,m4_a1_e4,train/453_N.png,N,0.7188122549691942,0.7418634181072058,0.697150413292803,264662,92091,114972
2028,m4_a1_e4,train/489_N.png,N,0.852619916546342,0.8730124550627743,0.83315832341332,332451,48358,66574
2028,m4_a1_e4,train/8_A.png,A,0.7373852687337321,0.8312932874504508,0.6625405953030958,209924,42603,106923
2028,m2_a1_e2,train/138_A.png,A,0.632999576231731,0.7465987690569793,0.5494045851888504,166552,56529,136598
2028,m2_a1_e2,train/177_D.png,D,0.8215570882920202,0.8336929857447757,0.8097694409638693,282416,56337,66345
2028,m2_a1_e2,train/222_D.png,D,0.3024039067515162,0.22541963282946803,0.4592421787361336,51583,177248,60739
2028,m2_a1_e2,train/421_G.png,G,0.8210976657298451,0.8503335166211327,0.7938053454091025,295371,51988,76724
2028,m2_a1_e2,train/442_G.png,G,0.5697856001175801,0.551784260787183,0.5890010967567336,124056,100771,86565
2028,m2_a1_e2,train/453_N.png,N,0.738173853080761,0.7583510206803054,0.7190425515101387,272973,86983,106661
2028,m2_a1_e2,train/489_N.png,N,0.8543392318088238,0.8612138882876459,0.8475734603095044,338203,54502,60822
2028,m2_a1_e2,train/8_A.png,A,0.7505869185175175,0.8320797480024585,0.6836327943770968,216607,43713,100240
2028,m2_a4_e8,train/138_A.png,A,0.5793150772734299,0.6759669869425967,0.5068447963054593,153650,73654,149500
2028,m2_a4_e8,train/177_D.png,D,0.8032636998461357,0.8297830718396865,0.7783869182620763,271471,55688,77290
2028,m2_a4_e8,train/222_D.png,D,0.2557966889554024,0.18132524071450087,0.4340734673527893,48756,220131,63566
2028,m2_a4_e8,train/421_G.png,G,0.8100995318593416,0.836306773147764,0.785484889611524,292275,57208,79820
2028,m2_a4_e8,train/442_G.png,G,0.528883922150057,0.4952875154388786,0.5673698254210169,119500,121774,91121
2028,m2_a4_e8,train/453_N.png,N,0.7364088202255836,0.717478323879963,0.7563653413550946,287142,113068,92492
2028,m2_a4_e8,train/489_N.png,N,0.8449091818449143,0.8473412125290807,0.8424910719879707,336175,60566,62850
2028,m2_a4_e8,train/8_A.png,A,0.7201477457014084,0.7833035323445835,0.6664162829378217,211152,58414,105695
2028,m2_a8_e16,train/138_A.png,A,0.5582903105509311,0.5798403831940417,0.5382846775523669,163181,118243,139969
2028,m2_a8_e16,train/177_D.png,D,0.7713333879089179,0.7472872843807803,0.796978446557958,277955,93997,70806
2028,m2_a8_e16,train/222_D.png,D,0.23001792442477229,0.15839695297464507,0.4198643186552946,47160,250573,65162
2028,m2_a8_e16,train/421_G.png,G,0.772307108385148,0.7577237075865207,0.7874628791034548,293011,93688,79084
2028,m2_a8_e16,train/442_G.png,G,0.46783106669340835,0.42482978830586565,0.5205178970757902,109632,148429,100989
2028,m2_a8_e16,train/453_N.png,N,0.6747882126178208,0.6542127042783751,0.6966999794538951,264491,139798,115143
2028,m2_a8_e16,train/489_N.png,N,0.8156127293263753,0.8071098002071054,0.8242967232629534,328915,78607,70110
2028,m2_a8_e16,train/8_A.png,A,0.6733389841559627,0.6962812633793273,0.6518603616256426,206540,90093,110307
2029,m2_a2_e4,train/138_A.png,A,0.5865419818191732,0.7159081185407733,0.49677387431964376,150597,59761,152553
2029,m2_a2_e4,train/177_D.png,D,0.821196880884497,0.846035023276887,0.7977755540327044,278233,50634,70528
2029,m2_a2_e4,train/222_D.png,D,0.2841046144695756,0.20566097911018977,0.45928669361300545,51588,199252,60734
2029,m2_a2_e4,train/421_G.png,G,0.8189024065867063,0.8314654670958235,0.8067133393353848,300174,60844,71921
2029,m2_a2_e4,train/442_G.png,G,0.533561087367978,0.507196707142796,0.5628166232237052,118541,115177,92080
2029,m2_a2_e4,train/453_N.png,N,0.7066847343022872,0.6708075269148027,0.7466164779761559,283441,139096,96193
2029,m2_a2_e4,train/489_N.png,N,0.8542999109135354,0.8640770477010787,0.8447415575465197,337073,53023,61952
2029,m2_a2_e4,train/8_A.png,A,0.747487404838945,0.8194025244808406,0.6871770917824691,217730,47988,99117
2029,m1_a4_e4,train/138_A.png,A,0.5899116799333258,0.710472508271683,0.5043311891802738,152888,62304,150262
2029,m1_a4_e4,train/177_D.png,D,0.8207978123295552,0.8570639487710802,0.787476237308644,274641,45803,74120
2029,m1_a4_e4,train/222_D.png,D,0.27555862903574363,0.20370804275495988,0.42571357347625577,47817,186916,64505
2029,m1_a4_e4,train/421_G.png,G,0.8123078706131032,0.834670250682636,0.7911124847149249,294369,58308,77726
2029,m1_a4_e4,train/442_G.png,G,0.5184757059087216,0.49782825281409493,0.5409099757384116,113927,114921,96694
2029,m1_a4_e4,train/453_N.png,N,0.707137087525803,0.6711910610083341,0.7471512035276082,283644,138954,95990
2029,m1_a4_e4,train/489_N.png,N,0.8542018991852379,0.8759039317409738,0.8335492763611303,332607,47123,66418
2029,m1_a4_e4,train/8_A.png,A,0.7312347826086957,0.8143620256204653,0.6635063611143549,210230,47923,106617
2029,m4_a1_e4,train/138_A.png,A,0.6014048096741014,0.7384650108530706,0.5072571334322943,153775,54461,149375
2029,m4_a1_e4,train/177_D.png,D,0.8333321055337908,0.8570735846769305,0.810870481504526,282800,47160,65961
2029,m4_a1_e4,train/222_D.png,D,0.2990117877059691,0.2161781229280068,0.4847581061590784,54449,197422,57873
2029,m4_a1_e4,train/421_G.png,G,0.8229864819597975,0.8485301715156688,0.798935755653798,297280,53067,74815
2029,m4_a1_e4,train/442_G.png,G,0.5599635308437426,0.5461821464845954,0.5744583873402938,120993,100532,89628
2029,m4_a1_e4,train/453_N.png,N,0.741395489943515,0.724047886871284,0.7595947675919438,288368,109904,91266
2029,m4_a1_e4,train/489_N.png,N,0.8588672925161037,0.8752787267424161,0.8430599586492075,336402,47935,62623
2029,m4_a1_e4,train/8_A.png,A,0.7503945728921501,0.8306889456805355,0.6842545455693126,216804,44189,100043
2029,m2_a1_e2,train/138_A.png,A,0.6314252050607372,0.7351987236802889,0.5533234372422893,167740,60416,135410
2029,m2_a1_e2,train/177_D.png,D,0.8201373092782435,0.8498579300843809,0.7924251851554502,276367,48825,72394
2029,m2_a1_e2,train/222_D.png,D,0.3075697514450553,0.22139546899218737,0.5035789961004968,56563,198921,55759
2029,m2_a1_e2,train/421_G.png,G,0.8193393395058562,0.8461064951871596,0.7942138432389578,295523,53751,76572
2029,m2_a1_e2,train/442_G.png,G,0.5790271619477855,0.5389098613093607,0.6255976374625513,131764,112737,78857
2029,m2_a1_e2,train/453_N.png,N,0.7250595309560972,0.6902559828551018,0.7635591121975376,289873,130077,89761
2029,m2_a1_e2,train/489_N.png,N,0.8574751068310535,0.8748093314803178,0.8408144853079381,335506,48013,63519
2029,m2_a1_e2,train/8_A.png,A,0.7528873913035903,0.8403431940695567,0.6819190334767253,216064,41050,100783
2029,m2_a4_e8,train/138_A.png,A,0.5762027579113224,0.6924230710473078,0.4933894111825829,149571,66440,153579
2029,m2_a4_e8,train/177_D.png,D,0.8018403170579158,0.8497111310822956,0.7590756994044632,264736,46824,84025
2029,m2_a4_e8,train/222_D.png,D,0.2497498752821655,0.18086843355409446,0.40336710528658676,45307,205190,67015
2029,m2_a4_e8,train/421_G.png,G,0.8042528938066229,0.8308463270814351,0.7793090474206856,289977,59037,82118
2029,m2_a4_e8,train/442_G.png,G,0.5032245612713715,0.4989707948451058,0.5075514787224445,106901,107342,103720
2029,m2_a4_e8,train/453_N.png,N,0.6743739620487417,0.6338725116407353,0.7204043894909308,273490,157969,106144
2029,m2_a4_e8,train/489_N.png,N,0.8527915210917533,0.8879608052715391,0.8203019860910971,327321,41300,71704
2029,m2_a4_e8,train/8_A.png,A,0.720113481591922,0.8177871575534834,0.643282088831518,203822,45414,113025
2029,m2_a8_e16,train/138_A.png,A,0.53596591646702,0.6637920954162769,0.4494210786739238,136242,69006,166908
2029,m2_a8_e16,train/177_D.png,D,0.7955702073253278,0.8770585532520564,0.7279368966140136,253876,35587,94885
2029,m2_a8_e16,train/222_D.png,D,0.21609017904395691,0.1515722120002439,0.37623973932088106,42260,236551,70062
2029,m2_a8_e16,train/421_G.png,G,0.7829324756907837,0.7969722615057403,0.7693787876751905,286282,72930,85813
2029,m2_a8_e16,train/442_G.png,G,0.4571067487123047,0.4491216333861789,0.46538094492002224,98019,120227,112602
2029,m2_a8_e16,train/453_N.png,N,0.6541443037580078,0.6452534581106083,0.6632835836621588,251805,138437,127829
